local_index_1based,local_index_0based,neuron_id,celltype,side,additional_annotations,level_7_cluster,is_orn,is_left_orn,is_right_orn,is_mbon,is_left_mbon,is_right_mbon
173,172,7934904,PN,left,35a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,12,0,0,0,0,0,0
174,173,7935088,PN,right,35a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,12,0,0,0,0,0,0
175,174,7939890,LN,left,no official annotation,10,0,0,0,0,0,0
176,175,7939979,LN,left,no official annotation,10,0,0,0,0,0,0
177,176,7941642,LN,left,no official annotation,10,0,0,0,0,0,0
178,177,7941652,LN,left,_broad D1,10,0,0,0,0,0,0
179,178,8021456,PN,left,33a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
180,179,8037197,LN,left,CN-2,32,0,0,0,0,0,0
181,180,8066542,KC,right,KC,30,0,0,0,0,0,0
182,181,8068173,KC,right,KC,40,0,0,0,0,0,0
183,182,8094859,MBON,right,MBON-b1,59,0,0,0,1,0,1
184,183,8102935,LN,left,no official annotation,10,0,0,0,0,0,0
185,184,8118474,KC,left,KC,40,0,0,0,0,0,0
186,185,8140109,PN,right,74a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
187,186,8177991,KC,left,KC,33,0,0,0,0,0,0
188,187,8198238,LN,right,no official annotation,10,0,0,0,0,0,0
189,188,8198317,LN,right,no official annotation,10,0,0,0,0,0,0
190,189,8198416,LN,right,_broad D1,10,0,0,0,0,0,0
191,190,8198513,LN,right,no official annotation,10,0,0,0,0,0,0
192,191,8199671,LN,right,no official annotation,10,0,0,0,0,0,0
193,192,8231264,LN,right,no official annotation,10,0,0,0,0,0,0
194,193,8243455,PN,right,83a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
195,194,8244723,PN,right,42a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
196,195,8244823,PN,right,13a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
197,196,8245014,PN,right,59a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
198,197,8245146,PN,right,82a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
199,198,8245513,PN,right,63a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
200,199,8245692,PN,right,42b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
201,200,8245869,PN,right,24a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
202,201,8246081,PN,right,67b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
203,202,8246750,PN,right,47a&33b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
204,203,8247451,PN,right,45a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
205,204,8248631,PN,right,22c PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
206,205,8248706,KC,left,KC,42,0,0,0,0,0,0
207,206,8252067,PN,right,1a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
208,207,8253413,PN,right,45b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
209,208,8256186,PN,right,30a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,12,0,0,0,0,0,0
210,209,8262302,KC,left,KC,30,0,0,0,0,0,0
211,210,8262372,KC,left,KC,40,0,0,0,0,0,0
212,211,8262503,KC,left,KC,30,0,0,0,0,0,0
213,212,8263140,KC,left,KC,33,0,0,0,0,0,0
214,213,8263285,KC,left,KC,33,0,0,0,0,0,0
215,214,8273369,LN,left,no official annotation,10,0,0,0,0,0,0
216,215,8274021,LN,left,no official annotation,10,0,0,0,0,0,0
217,216,8274902,KC,right,KC,33,0,0,0,0,0,0
218,217,8276782,PN,left,mPN; Multiglomerular PN 7; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,32,0,0,0,0,0,0
219,218,8297018,MBON,right,MBON-e2,64,0,0,0,1,0,1
220,219,8311264,LN,left,no official annotation,10,0,0,0,0,0,0
221,220,8318678,KC,left,KC,49,0,0,0,0,0,0
222,221,8338584,MBON,left,MBON-h1; MBON-h2,59,0,0,0,1,1,0
223,222,8393981,KC,left,KC,42,0,0,0,0,0,0
224,223,8399890,PN,left,94a&94b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
225,224,8413663,KC,right,KC,30,0,0,0,0,0,0
226,225,8419602,KC,right,KC,42,0,0,0,0,0,0
227,226,8427677,KC,right,KC,49,0,0,0,0,0,0
228,227,8480221,PN,left,mPN; mPN seahorse; mPN; olfactory 2nd_order PN,22,0,0,0,0,0,0
229,228,8504660,KC,right,KC,49,0,0,0,0,0,0
230,229,8509534,PN,left,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,29,0,0,0,0,0,0
231,230,8509987,KC,right,KC,49,0,0,0,0,0,0
232,231,8513389,KC,left,KC,33,0,0,0,0,0,0
233,232,8559607,KC,right,KC,33,0,0,0,0,0,0
234,233,8704079,PN,left,mPN; mPN iACT B3; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22,0,0,0,0,0,0
235,234,8798010,MBON,left,MBON-h1; MBON-h2,59,0,0,0,1,1,0
236,235,8812078,LN,right,no official annotation,22,0,0,0,0,0,0
237,236,8835968,KC,right,KC,42,0,0,0,0,0,0
238,237,8850802,KC,right,KC,30,0,0,0,0,0,0
239,238,8864096,KC,left,KC,42,0,0,0,0,0,0
240,239,8865199,KC,left,KC,33,0,0,0,0,0,0
241,240,8877158,MBON,left,MBON-a1,59,0,0,0,1,1,0
242,241,8877795,LN,left,no official annotation,1,0,0,0,0,0,0
243,242,8877971,LN,left,no official annotation,10,0,0,0,0,0,0
244,243,8891315,KC,right,KC,33,0,0,0,0,0,0
245,244,8922644,MBON,left,MBON-e2,64,0,0,0,1,1,0
246,245,8924186,KC,right,KC,42,0,0,0,0,0,0
247,246,8980589,MBON,right,MBON-c1; CN-59,59,0,0,0,1,0,1
248,247,8997281,KC,right,KC,42,0,0,0,0,0,0
249,248,9074101,MBON,right,MBON-d3,64,0,0,0,1,0,1
250,249,9109799,MBON,left,MBON-d3,64,0,0,0,1,1,0
251,250,9119558,PN,left,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22,0,0,0,0,0,0
252,251,9275210,LN,right,Thermo PN 1; Thermo PN 6,28,0,0,0,0,0,0
253,252,9291474,LN,right,Thermo PN 2,17,0,0,0,0,0,0
